Document Information,Contact Information,Permit Information,Property Information,Decision Basis,Included Documents,Granted Exemptions,Building regulations and requirements,Statistics for HmbTG Implementation,URL (link to PDF),Request ID,Residential,Commercial,Other,Time for Decision (months),Number of Full Stories,Exceeded Building Boundary (meters),Exceeded Floor Area Ratio,Number of Exemptions,Permit Type,Issuing Authority,Type of Construction,Number of Documents,building function + requirements,Parcel code 1,Parcel code 2+,District,Building block,Unnamed: 28,Development plan/ implementation plan
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 28, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung, WBZ 2
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz2@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/09848/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: July 8, 2022
Issue Date: November 28, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 518-010, Flurstücke 259 in the Gemarkung Sasel
Project Description: Neubau eines Einzelhauses aus 2 Gebäuden (2WE)","Decision Basis:
Development Plan: Baustufenplan Sasel
Regulations:
Type: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Floor Plans (Basement, Ground Floor, Attic)
Section A-A
Elevation Views (South-East, North-East, South-West, North-West)
Site Plan","Granted Exemptions:
Ausübung des Ermessens:
The project integrates within the existing building lines of the surrounding area as per § 34 BauGB.
The project aligns with the front building lines of neighboring buildings.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 2
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-aus-2-gebaeuden-2we,12,1,0,0,4.5,1,,,0,Simplified,Wandsbek,New Construction,9.0,W1 o,259.0,,Sasel,,,Sasel (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 12, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung, WBZ 2
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz2@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/08838/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: June 15, 2022
Issue Date: September 12, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 525-077, Flurstück 8245 in the Gemarkung Volksdorf
Project Description: Neubau eines Einzelhauses mit 1 offenen Stellplatz","Decision Basis:
Development Plan: Volksdorf 40
Regulations:
Type: WR I o E 1Wo (c)=120m²
BauNutzungsverordnung from January 23, 1990","Documents Included:
Floor Plans (Basement, Ground Floor, Attic)
Section A-A
Elevation Views (South, East, North, West)
Site Plans (1:500, 1:200)
GRZ / GFZ Calculation","Granted Exemptions:
Exception under § 4 of the Tree Protection Ordinance and § 39 Abs. 5 BNatSchG:
Allowed Actions:
Felling of two construction-impeding trees (Nr. 1 Larix kaempferi and Nr. 2 Quercus robur)
Tree Preservation:
Other protected trees must be preserved and protected according to DIN 18920 and environmental regulations throughout the construction process.
Additional Conditions:
Replacement Planting / Greening Measures:
Planting of 6 small to medium-sized trees as specified in the attachments, with a minimum planting quality of 3 x v STU 16-18 cm, using native species unless otherwise specified.
Ensuring a rootable vegetation area of at least 12 sqm for each tree.
All planting works, including necessary structural measures, must be carried out by a qualified gardening company under the supervision of a landscape architect.
Replacement planting and greening measures must be completed by the end of the planting season following construction completion. The planting season ends on April 30.
Continuous care for the replacement measures for at least 2 years by a qualified gardening company.
Art Protection / Protection Period:
During the vegetation period (March 1 to September 30):
No cutting or felling of vegetation.
If cutting or felling must occur outside this period, a waiver according to § 67 BNatSchG must be applied for with justification.
Compliance with § 44 BNatSchG regarding the protection of wild animals and their habitats.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-1-offenen-stellplatz,13,1,0,0,3.0,1,,,1,Simplified,Wandsbek,New Construction,12.0,WR I o,8245.0,,Volksdorf,,,Volksdorf 40 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: January 20, 2014","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 24 Bauprüfung Alstertal
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 428 81 - 0
Telefax: 040 - 4279-05224
Email: wbz24@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/15233/2013
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 21, 2013
Issue Date: January 20, 2014
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 521-024, Flurstück 3832 in the Gemarkung Lemsahl-Mellingstedt
Project Description: Neubau eines Einzelhauses mit zwei Wohneinheiten und Carport","Decision Basis:
Development Plan: Baustufenplan Lemsahl-Mellingstedt
Regulations:
Type: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version
Vorbescheid Gz.: W/WBZII/00929/2012 from August 16, 2012","Documents Included:
Cadastre Extract
Site Plan
Floor Plans (Basement, Ground Floor, Upper Floor)
Sections
Elevation Views (North, East, South, West)
Carport Plans (Ground Plan, Section, Elevations)
Building Description
2/3 Proof
Calculation of Built Area","Granted Exemptions:
For Exceeding the Permissible Built Area by 0.07 to 0.27:
Justification: The exemption is urbanistically justifiable and was already granted with the preliminary decision.
Condition: The driveway must be planted with a native hedge on the northern property boundary, and the hedge must be maintained permanently. Driveways and access paths must be constructed in a water-permeable manner to ensure ecological compensation for sealed surfaces. The main usage area must not exceed the permissible built area according to § 11 BPVO of 0.20.
For Undershooting the Minimum Plot Size of 1,000m² by 192m² to 808m²:
Justification: The exemption is urbanistically justifiable.
Additional Conditions:
Tree Protection and Replacement Planting:
Replacement planting and greening measures must be implemented according to the specified plant species, scope, and quality as outlined in the attached documents.
Six small to medium-sized trees must be planted with a minimum quality of 3 x v STU 16-18 cm using site-appropriate native species.
Each tree must have a minimum rootable vegetation area of 12 sqm.
Planting and associated structural measures must be carried out by a qualified gardening company under the supervision of a landscape architect.
Replacement planting and greening measures must be completed by the end of the planting season following construction completion, with continuous care for at least 2 years.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-wohneinheiten-und-carport,14,1,0,0,2.0,1,,0.07,2,Simplified,Wandsbek,New Construction,12.0,W1 o,,,,,,
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 23, 2019","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung, M/BP
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 4 28 54 - 34 48
Telefax: 040 - 42 79 - 01 54 1
Email: baupruefung@hamburg-mitte.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: M/BP/01510/2019
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: August 5, 2019
Issue Date: September 23, 2019
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-266, Flurstück 01899 in the Gemarkung Öjendorf
Project Description: Neubau eines Einzelhauses mit zwei Wohneinheiten ohne Terrassen","Decision Basis:
Development Plan: Bebauungsplan Billstedt 90
Regulations:
Type: WR I o; 2 Wo; E zwingend; GRZ: 0.3, Baugrenzen, vorgesehene Versickerungsfläche
BauNutzungsverordnung from January 23, 1990
Grünordnungsplan Billstedt 90
Baugesetzbuch","Documents Included:
Site Plans (Green areas, Setback areas, last modified 01.08.19)
Floor Plans (Ground Floor, Attic, last modified 31.07.19)
Elevation Views (North-South, West-East, last modified 31.07.19)
Building Description (01.08.19)
Floor Area Calculation (21.08.19)
Building Description / Waiver for the construction of terraces (21.08.19)
Sections (22.08.19)
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-wohneinheiten-ohne-terrassen,15,1,0,0,1.5,1,,,0,Simplified,Hamburg-Mitte,New Construction,10.0,WR I o,1899.0,,Öjendorf,,,"Billstedt 90 (development plan), green space plan Billstedt 90 (green space plan according to HmbNatSchG)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: December 1, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 23
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 54 89
Email: wbz23@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/09704/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: July 20, 2020
Issue Date: December 1, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 526-168, Flurstück 498 in the Gemarkung Alt-Rahlstedt
Project Description: Neubau eines Einzelhauses mit zwei Gebäuden (2 WE)","Decision Basis:
Development Plan: Bebauungsplan Rahlstedt 65
Regulations:
Type: WR II o
BauNutzungsverordnung from November 26, 1968","Documents Included:
Tree Felling Application
Site Plan
Demolition Plan
Tree Inventory Plan
Floor Plans (Ground Floor, Upper Floor, Attic Floor)
Sections A-A / B-B
Elevation Views (North/South, West/East)
Expert Opinion on Root Explorations
Power of Attorney for Nature and Tree Protection Measures (Neighbor at Parkstieg 9)","Granted Exemptions:
Exception under § 4 of the Tree Protection Ordinance and § 39 Abs. 5 BNatSchG:
Allowed Actions:
Felling of the construction-impeding maple (Tree Nr. 1) between October 1 and February 28.
Carrying out the requested works in the protected crown and root area of the beech (Tree Nr. 2) under the supervision of a certified tree expert.
Tree Preservation:
Other protected trees must be preserved and protected according to DIN 18920 and environmental regulations throughout the construction process.
Additional Conditions:
Replacement Planting:
The felling permission is expressly conditioned on fulfilling the replacement planting.
Replacement planting must be maintained permanently; in case of loss, equivalent replacements must be planted.
Special Tree Protection:
Compliance with tree protection guidelines and supervision by a certified tree expert must be proven to the designated authority before starting work.
Compensation Payment:
A compensation amount of €5,000 must be paid for nature conservation and landscape maintenance measures.
The compensation for the felled maple is calculated based on the required value calculation model, resulting in a need for 7 replacement trees or €7,000. Two replacement trees are to be planted on-site, and the remaining value is settled with a €5,000 compensation payment.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 2
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-gebaeuden-2-we,16,1,0,0,4.5,2,,,1,Simplified,Wandsbek,New Construction,14.0,WR II o,498.0,,Alt-Rahlstedt,,,Rahlstedt 65 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: October 7, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung, M/BP
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 4 28 54 - 34 48
Telefax: 040 - 42 79 - 01 54 1
Email: baupruefung@hamburg-mitte.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: M/BP/02078/2019
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 5, 2019
Issue Date: October 7, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-278, Flurstück 2039 in the Gemarkung Öjendorf
Project Description: Neubau eines Einzelhauses mit zwei Wohneinheiten und 2 Stellplätzen","Decision Basis:
Development Plan: Bebauungsplan Billstedt 90
Regulations:
Type: WR I o, 2 Wo; E zwingend; GRZ: 0,3
BauNutzungsverordnung from January 23, 1990
Grünordnungsplan Billstedt 90
Baugesetzbuch","Documents Included:
Site Plans (Liegenschaftskarte, Abstandsflächen, Begrünung)
Floor Plans (Ground Floor, Upper Floor)
Elevation Views (East, West, South, North)
Building Description
Floor Area Calculation
Sections","Granted Exemptions:
Planning Law Exemption under § 31 Abs. 2 BauGB:
For Waiving the Connection to the District Heating Network (§ 9 (13) BauGB i.V.m. § 2, Ziff.1 of the Law on the Development Plan)
Building Regulation Deviation under § 69 HBauO:
For Undershooting the Minimum Depth of the Setback Area for the Internal Exterior Wall (§ 6 Abs. 5 HBauO)
Approval under § 4 of the Tree Protection Ordinance and § 39 Abs. 5 BNatSchG:
Allowed Actions:
Felling of a blood beech with a trunk diameter of 60 cm between October 1 and February 28 of each year within the validity of the building permit.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-wohneinheiten-und-2-stellplaetzen,17,1,0,0,11.0,1,,,1,Simplified,Hamburg-Mitte,New Construction,13.0,WR I o,2039.0,,Öjendorf,,,"Billstedt 90 (development plan), green space plan Billstedt 90 (green space plan according to HmbNatSchG)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: August 4, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region Ost -WBZ 22-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/00570/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: March 3, 2021
Issue Date: August 4, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 318-020, Flurstück 11436 in the Gemarkung Niendorf
Project Description: Neubau eines Einzelhauses mit 2 WE und 2 offenen Stellplätzen","Decision Basis:
Development Plan: Bebauungsplan Niendorf 10
Regulations:
Type: WR-I
BauNutzungsverordnung from June 26, 1962","Documents Included:
Floor Plans (Ground Floor, Upper Floor, Attic)
Sections A-A
Elevation Views (North, South)
Site Plan
Green Plan","Granted Exemptions:
Exception under § 4 of the Tree Protection Ordinance and § 39 Abs. 5 BNatSchG:
Allowed Actions:
Removal of two hornbeam hedges, length approx. 3.00m, for the construction of a new driveway.
Additional Conditions:
Tree Preservation and Replacement Planting:
The felling permission is expressly conditioned on fulfilling the replacement planting.
Replacement planting must be maintained permanently; in case of loss, equivalent replacements must be planted.
All protected trees and shrubs must be preserved and protected according to DIN 18920 and environmental regulations throughout the construction process.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 2
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-2-we-und-2-offenen-stellplaetzen,18,1,0,0,5.0,1,,,1,Simplified,Eimsbüttel,New Construction,7.0,WR I,11436.0,,Niendorf,,,Niendorf 10 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: October 13, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region West -WBZ 23-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/00322/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: February 11, 2022
Issue Date: October 13, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 320-143, Flurstück 7696 in the Gemarkung Eidelstedt
Project Description: Neubau Einfamilienhaus (rückwärtige Bebauung)","Decision Basis:
Development Plan: Bebauungsplan Eidelstedt 72
Regulations:
Type: MI III o, GRZ 0,6 / GFZ 1,2
BauNutzungsverordnung from January 23, 1990","Documents Included:
Floor Plans (Ground Floor, Upper Floor, Attic Floor)
Sections
Elevation Views (North, East, South, West)
Building Description
Sound Insulation Report
Site Plan
Cadastre Extract
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-rueckwaertige-bebauung,19,1,0,0,8.0,1,,,0,Simplified,Eimsbüttel,New Construction,9.0,MI III o,7696.0,,Eidelstedt,,,Eidelstedt 72 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 16, 2018","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung, M/BP
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 4 28 54 - 34 48
Telefax: 040 - 42 79 - 01 54 1
Email: baupruefung@hamburg-mitte.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: M/BP/00494/2018
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: April 9, 2018
Issue Date: July 16, 2018
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 136-034, Flurstück 4919 in the Gemarkung Wilhelmsburg
Project Description: Neubau Einfamilienhaus mit Garage","Decision Basis:
Development Plan: Bebauungsplan Wilhelmsburg 9
Regulations:
Type: WA Max II, offen, ED, GRZ 0,4
BauNutzungsverordnung from June 26, 1962","Documents Included:
Site Plan (1:500)
Floor Plans (Ground Floor, Upper Floor, Basement)
Sections
Elevation Views
Utilization Calculation
Setback Areas Plan
Open Space Plan","Granted Exemptions:
Planning Law Exemption under § 31 Abs. 2 BauGB:
For the construction of a single-story garage in the front yard (exceeding the front building line by 3.30 m) on the non-buildable property area (§ 2 Nr. 4 VO zum Bebauungsplan ""Wilhelmsburg 9""):
Justification: The deviation for the construction of the garage in the front yard is granted. The garage is urbanistically justifiable as it does not significantly affect the front yard and is aesthetically integrated with the single-family house.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-mit-garage,20,1,0,0,3.0,2,3.3,,1,Simplified,Hamburg-Mitte,New Construction,10.0,WA Max II,4919.0,,Wilhelmsburg,,,Wilhelmsburg 9 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: January 25, 2019","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 23
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 54 89
Email: wbz23@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/16447/2018
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 29, 2018
Issue Date: January 25, 2019
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 526-033, Flurstück 651 in the Gemarkung Meiendorf
Project Description: Neubau Einfamilienhaus [1 WE]","Decision Basis:
Development Plan: Bebauungsplan Rahlstedt 45
Regulations:
Type: WR II o; Baufeld mit 25 m Tiefe
BauNutzungsverordnung from June 26, 1962","Documents Included:
Lageplan
Floor Plans (Ground Floor, Upper Floor)
Sections
Elevation Views
Vegetation Plan with Cables and Tree Protection
Open Space Plan","Granted Exemptions:
Exception under § 4 of the Tree Protection Ordinance and § 39 Abs. 5 BNatSchG:
Allowed Actions:
Removal of construction-impeding trees (Nr. 1-4) and hedges (Nr. H1-H3, approx. 16 linear meters) from October 1 to February 28.
Additional Conditions:
Tree Preservation and Replacement Planting:
The felling permission is expressly conditioned on fulfilling the replacement planting.
Other protected trees must be preserved and protected according to DIN 18920 and environmental regulations throughout the construction process.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-1-we1,21,1,0,0,2.0,1,,,1,Simplified,Wandsbek,New Construction,6.0,WR II o,651.0,,Meiendorf,,,Rahlstedt 45 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 25, 2015","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 24
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 52 24
Email: wbz24@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/14035/2015
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 5, 2015
Issue Date: November 25, 2015
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 523-025, Flurstück 411 in the Gemarkung Wohldorf
Project Description: Neubau Einfamilienhaus mit Carport","Decision Basis:
Development Plan: Bebauungsplan Wohldorf-Ohlstedt 18
Regulations:
Type: WR IIo 2 WE GRZ 0,2 E zwingend F mind. 1250m²
BauNutzungsverordnung from June 26, 1962","Documents Included:
Lageplan
Floor Plans (Basement, Ground Floor, Upper Floor)
Sections
Elevation Views (North, East, South, West)
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-mit-carport,22,1,0,0,1.0,1,,0.2,0,Simplified,Wandsbek,New Construction,8.0,WR II o,411.0,,Wohldorf,,,Wohldorf-Ohlstedt 18 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: March 10, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region Ost -WBZ 22-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/03377/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 24, 2020
Issue Date: March 10, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 318-075, Flurstück 2622 in the Gemarkung Niendorf
Project Description: Neubau Einfamilienhaus mit Einliegerwohnung","Decision Basis:
Development Plan: Bebauungsplan Niendorf 24
Regulations:
Type: WR max II, 15 m Bautiefe
BauNutzungsverordnung from June 26, 1962","Documents Included:
Lageplan
Setback Areas Plan
Floor Plans (Ground Floor, Attic Floor)
Elevation Views (North-East & North-West, South-East & South-West)
Sections (A-A, B-B, C-C)
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.
Bauordnungsrechtliche Auflagen und Hinweise:
Notification of Construction Start: Must be communicated to the building authority at least one week before commencement using the online form.
Notification of Intended Use: Must be communicated to the building authority at least two weeks before intended use.
Additional Information: Further details available at the provided link.
Demolition Excluded: Demolition of the existing building is not included in this permit.
Separate Application for Demolition of Residential Space: Must be submitted to the housing protection authority.
Gardening Design: The front garden must be landscaped, and sealing should not exceed 30% of the total area.",,,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-mit-einliegerwohnung,23,1,0,0,3.5,2,,,0,Simplified,Eimsbüttel,New Construction,9.0,WR II,2622.0,,Niendorf,,,Niendorf 24 (development plan)
