Document Information,Contact Information,Permit Information,Property Information,Decision Basis,Included Documents,Granted Exemptions,Building regulations and requirements,Statistics for HmbTG Implementation,URL (link to PDF),Request ID,Residential,Commercial,Other,Time for Decision (months),Number of Full Stories,Exceeded Building Boundary (meters),Exceeded Floor Area Ratio,Number of Exemptions,Permit Type,Issuing Authority,Type of Construction,Number of Documents,building function + requirements,Parcel code 1,Parcel code 2+,District,Building block,Development plan/ implementation plan
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 9, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/02268/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: February 12, 2021
Issue Date: July 9, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 515-100, Flurstück 10789 in der Gemarkung Bramfeld
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Grünordnungsplan Bramfeld 58
Regulations: WRI o, 2 Wo, GRZ 0,3, GFZ 0,3, Baufenster, Ausschluss von Nebenanlagen, Stellplätzen und oberirdischen Garagen
Hamburgisches Naturschutzgesetz vom 02.07.1981 in der geltenden Fassung","Documents Included:
Grundriss / Erdgeschoss (1/6)
Grundriss / Obergeschoss (1/7)
Schnitt (1/8)
Ansicht W+N+O+S (1/9)
Baubeschreibung (1/10)
Nachweis / Geschossigkeit (1/11)
Berechnung / Wohnfläche (1/13)
Berechnung / Rauminhalt, GRZ + GFZ (1/18)
Lage- und Höhenplan (1/19)",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses85,34,1,0,0,5.0,1,,,0,Simplified,Wandsbek,New Construction,9.0,WR I o,10789.0,,Bramfeld,,Bramfeld 58 (green development plan according to HmbNatSchG)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 27, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region Ost -WBZ 22-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/01435/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: June 29, 2022
Issue Date: September 27, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 318-139, Flurstück 593 in der Gemarkung Lokstedt
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Baustufenplan Niendorf / Lokstedt / Schnelsen
Regulations: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Included Documents:
4 / 3 Lageplan
4 / 8 Ansicht Süden
4 / 9 Ansicht Osten
4 / 10 Ansicht Norden
4 / 11 Ansicht Westen
4 / 12 Ermittlung der Abstandsflächen
4 / 13 Berechnung der Grund-und Geschossflächenzahl
4 / 15 Berechnung der Geschossigkeit
4 / 20 Grundriss EG
4 / 21 Grundriss Dachgeschoss
4 / 22 Grundriss Spitzboden
4 / 23 Schnitt
4 / 24 Baubeschreibung
4 / 25 Baumbestandsplan & Baumschutzplan
4 / 26 Gutachterliche Stellungnahme",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses97,35,1,0,0,3.0,1,,,0,Simplified,Eimsbüttel,New Construction,13.0,W1 o,593.0,,Lokstedt,,Niendorf / Lokstedt / Schnelsen (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: February 3, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Altona
Department: Dezernat Wirtschaft, Bauen und Umwelt, A/WBZ2 Fachamt Bauprüfung
Address: Jessenstraße 1 - 3, 22767 Hamburg
Telephone: 040 - 4 28 11 - 63 63
Telefax: 040 - 427 9 02570
Email: Zentrum-Wirtschaft-Bauen-Umwelt@altona.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: A/WBZ/10737/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 16, 2021
Issue Date: February 3, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 220-012, Flurstück 1461 in der Gemarkung Lurup
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Lurup 14 (festgestellt am 25.09.1964)
Regulations: Baufenster, WR I, ED, max. 2 WE
Baunutzungsverordnung from June 26, 1962","Included Documents:
3 / S-1² Antrag
3 / 1 Flurkartenauszug / Karte
3 / 2 Flurkartenauszug / Buch
3 / 4 Lageplan / Grünflächengestaltung
3 / 5 Baubeschreibung
3 / 17 Lageplan
3 / 18 Grundriss / Kellergeschoss
3 / 19 Grundriss / Erdgeschoss
3 / 20 Grundriss / Dachgeschoss
3 / 21 Grundriss / Spitzboden
3 / 22 Querschnitt
3 / 23 Ansichten Süd + West
3 / 24 Ansichten Nord + Ost
3 / 25 Antrag / Abweichung / Ausnahme / Befreiung
Erteilte Abweichungen von öffentlich-rechtlichen Vorschriften:
Planungsrechtliche Ausnahme nach § 23 Abs. 5 BauNVO:
Errichtung der ebenerdigen Terrasse teilweise außerhalb der überbaubaren Grundstücksfläche (§ 23 Abs. 5 BauNVO 1962):
Justification: The exemption is granted as the terrace's extension beyond the building limits is urbanistically justifiable.",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses89,36,1,0,0,2.5,1,0.5,,1,Simplified,Altona,New Construction,15.0,WR I,1461.0,,Lurup,,"Lurup 14 (established on September 25, 1964) (development plan)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 11, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Bergedorf
Department: Dezernat Wirtschaft, Bauen und Umwelt, Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung - B/WBZ 2
Address: Wentorfer Straße 38a, 21029 Hamburg
Telefax: 040 - 4 279 06 - 047
Email: Baupruefung@bergedorf.hamburg.de
Contact Person: Not specified (placeholders marked as ###)
Room: Not specified (placeholders marked as ###)
Telephone: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: B/WBZ/05210/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: September 24, 2021
Issue Date: November 11, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 601-128, Flurstücke 637, 00637 in der Gemarkung Boberg
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Lohbrügge 66
Regulations: WR I o, ED, 2 W, GRZ 0.2, GFZ 0.3
Baunutzungsverordnung from September 15, 1977
Landschaftsschutzgebiet Boberg","Included Documents:
12 / 1 Flurkartenauszug / Karte
12 / 2 Flurkarte, Bestandsaufnahme der Umgebung
12 / 3 Lageplan
12 / 4 Abstandsflächenplan
12 / 5 Grundriss / Erdgeschoss
12 / 6 Grundriss / 1. Obergeschoss
12 / 7 Schnitt
12 / 8 Ansicht West, Nord
12 / 9 Ansicht Ost, Süd
12 / 12 Nachweis / Geschossigkeit
Genehmigungseinschränkungen (aufschiebende Bedingung):
Mit den entsprechenden Bauarbeiten darf erst begonnen werden, wenn über folgende Prüfgegenstände ein Ergänzungsbescheid erteilt worden ist:
Standsicherheit: Hierfür ist der erforderliche Nachweis gemäß § 14 der Bauvorlagenverordnung in der geltenden Fassung (BauVorlVO) zur Prüfung nachzureichen.",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story
Art der Baumaßnahme: Beseitigung (Abbruch), Errichtung
Art der beantragten Anlage: Gebäude, Gebäudeklasse 1",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses86,37,1,0,0,1.5,1,,,0,Simplified,Bergedorf,New Construction,9.0,WR I o,637.0,,Boberg,,"Lohbrügge 66 (development plan), Boberg (regulation for the protection of parts of the landscape)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 11, 2023","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 428 54 - 3448
Telefax: 040 - 4279 - 01 54 1
Email: bp@hamburg-mitte.hamburg.de
Contact Person: Not specified (placeholders marked as ###)
Room: Not specified (placeholders marked as ###)
Telephone: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: M/BP/00308/2023
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: March 24, 2023
Issue Date: July 11, 2023
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 141-064, Flurstück 467 in der Gemarkung Finkenwerder Süd
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Nicht überplanter Bereich im Zusammenhang bebauter Ortsteil nach § 34 BauGB (Baugesetzbuch)","Included Documents:
0 / 4 a 20230324_Berechnung_Bruttorauminhalt_Vollgeschosse_GRZ_V1
0 / 6 a 20230324_Flurstücks_Eigentümernachweis-V1
0 / 12 a 20230418_Ansichten_V2
0 / 13 a 20230418_Aufmaß_Gebäudehöhen_V1
0 / 14 a 20230418_Baubeschreibung_V2
0 / 15 a 20230418_Baumgutachten-V1
0 / 17 a 20230418_Grundrisse_V2
0 / 18 a 20230418_Lageplan_V2",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
Tree Felling: The felling of the walnut tree with a trunk diameter of 15 cm and the plum tree with a trunk diameter of 10 cm is allowed and must be conducted by February 28 of the next year. These trees are not protected under the Tree Protection Ordinance.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/d-neubau-eines-einfamilienhauses,42,1,0,0,3.5,1,,,0,Simplified,Hamburg-Mitte,New Construction,8.0,WR I o,467.0,,Finkenwerder Süd,,district developed in accordance with Section 34 of the BauGB (not overplanned area)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: October 12, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Bergedorf
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung - B/WBZ 2
Address: Wentorfer Straße 38 a, 21029 Hamburg
Telefax: 040 - 4 279 06 - 047
Email: Baupruefung@bergedorf.hamburg.de
Contact Person: Not specified (placeholders marked as ###)
Room: Not specified (placeholders marked as ###)
Telephone: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: B/WBZ/04749/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: September 22, 2022
Issue Date: October 12, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 601-128, Flurstücke 653, 00653 in der Gemarkung Boberg
Project Description: Neubau eines Einfamilienhauses (1 WE)","Decision Basis:
Development Plan: Bebauungsplan Lohbrügge 66
Regulations: WA; II, o; E/D, GRZ 0,3, GFZ 0,4
Baunutzungsverordnung from September 15, 1977","Included Documents:
8 / 1 Flurkartenauszug
8 / 2 Lageplan
8 / 3 Grundriss
8 / 4 Grundriss / Dachgeschoss
8 / 5 Schnitt
8 / 6 Ansicht
8 / 7 Berechnung/GRZ
8 / 11 Grundriss / Dachgeschoss
8 / 12 Schnitt
8 / 13 Nachweis nicht Vollgeschosse
8 / 14 Berechnung / GFZ",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhauses-1-we,43,1,0,0,0.7,1,,,0,Simplified,Bergedorf,New Construction,10.0,WA II o,653.0,,Boberg,,"Lohbrügge 66 (development plan), Boberg (regulation for the protection of parts of the landscape)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: October 12, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region West -WBZ 23-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/00702/2022
Permit Type: Vereinfachtes Genehmigungsverfahren nach § 61 HBauO
Date of Receipt: March 21, 2022
Issue Date: October 12, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 319-098, Flurstück 2525 in der Gemarkung Schnelsen
Project Description: Neubau eines Einfamilienhauses mit Garage","Decision Basis:
Development Plan: Baustufenplan Niendorf / Lokstedt / Schnelsen
Regulations: S I o (obsolet)
Baupolizeiverordnung from June 8, 1938, in the applicable version
Beurteilung nach § 34 BauGB","Included Documents:
1 / 21 Lageplan
1 / 22 Kellergeschoss_102
1 / 23 Erdgeschoss_103
1 / 24 Dachgeschoss_104
1 / 25 Abstandsfläche_142
1 / 26 Schnitt A-A_130
1 / 27 Süd_Straßenansicht_120
1 / 28 Nordansicht_122
1 / 29 Westansicht_121
1 / 30 Ostansicht_123
1 / 31 Straßenabwicklung_124",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 2 Full Stories
Art der Baumaßnahme: Errichtung",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses-mit-garage15,47,1,0,0,6.5,2,,,0,Simplified,Eimsbüttel,New Construction,11.0,S I o,2525.0,,Schnelsen,,Niendorf / Lokstedt / Schnelsen (construction plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: October 1, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 24
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 52 24
Email: wbz24@wandsbek.hamburg.de
Contact Person: ###
Room: ###
Telephone: ###","Permit Information:
Reference Number: W/WBZ/12365/2020
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: September 14, 2020
Issue Date: October 1, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 521-005, Flurstück 4029 in der Gemarkung: Lemsahl-Mellingstedt
Project Description: New construction of a single-family house (1 residential unit) + double carport with storage room","Decision Basis:
Development Plan: Bebauungsplan Lemsahl-Mellingstedt 20
Regulations: WR II o; only single houses; GRZ 0.3; building limits (10.00 m x 14.00 m); (c) eaves height max 6.50 m; roof pitch 20° to max 40°
Baunutzungsverordnung from January 23, 1990","Included Documents:
4 Self-declaration
2 / 7 Site plan
2 / 9 Outdoor area
2 / 10 Floor plan / ground floor
2 / 11 Floor plan / upper floor
2 / 12 Floor plan / attic
2 / 13 Section A-A
2 / 14 Elevation North/South
2 / 15 Elevation East/West
2 / 16 Carport
2 / 23 Proof of planting requirement
2 / 27 Equipment overview","Granted Exemptions:
None specified.","Building regulations and requirements:
1. The ground surface is set at +28.79 m above sea level (NN) in front of house 73 (reference point according to the development plan). This results in the building zero level of +28.97 m above sea level (NN) = upper edge of the finished floor of the ground floor (§ 2 paragraph 3 HBauO).
2. The start of construction must be notified to the building supervisory authority at least one week in advance (§ 72a paragraph 4 HBauO). Please use the form available on the online service ""Notice of start, demolition and resumption of construction"" on the website gateway.hamburg.de.
3. The builder must notify the building supervisory authority of the intended occupancy at least two weeks in advance. This does not apply to the demolition of facilities and the construction of non-structural advertising facilities (§ 77 paragraph 2 HBauO).
4. The outdoor areas must be created in accordance with § 2 of the development plan LM 20 and § 9 paragraph 1 HBauO until the final completion of the building. In case of failure, equivalent replacements must be planted. (see also points 6 to 10 in the decision)
5. Further information, leaflets and brochures for your construction can be found at the link: ""http://www.hamburg.de/baugenehmigung/583468/start-merkblaetter.html"".","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: Not specified",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses-1we-doppelcarport-mit-abstellraum,53,1,0,0,1.0,1,,,1,Simplified,Wandsbek,New Construction,12.0,WR II o,4029.0,,Lemsahl-Mellingstedt,,Lemsahl-Mellingstedt 20 (development plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: August 7, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung, Bauprüfabteilung Region West -WBZ 23-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: ###
Room: ###
Telephone: ###
Telefax: ###
Email: ###","Permit Information:
Reference Number: E/WBZ2/01120/2020
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: May 11, 2020
Issue Date: August 7, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 320-050, Flurstück 7546 in der Gemarkung: Eidelstedt
Project Description: New construction of a single house with 2 residential units","Decision Basis:
Development Plan: Baustufenplan Eidelstedt
Regulations: S 1 o > Obsolete assessment according to § 34 BauGB
Baupolizeiverordnung from June 8, 1938","Included Documents:
7 / 4 Site plan
7 / 5 Site plan distance areas
7 / 7 Floor plan / attic
7 / 8 Floor plan / ground floor
7 / 9 Section eaves gable
7 / 10 Section dormer gable
7 / 11 Elevation N/W
7 / 12 Elevation S/E","Granted Exemptions:
None specified.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.
3. The green entries in the templates must be observed.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 1 Full Story",,61,1,0,0,3.0,1,,,1,Simplified,Eimsbüttel,New Construction,8.0,S 1 o,,,,,
"Document Information:
Title: Permit according to HBauO
Creation Date: August 27, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 428 54 - 3448
Telefax: 040 - 4279 - 01 54 1
Email: bp@hamburg-mitte.hamburg.de
Contact Person: ###
Telephone: 040 - 428 54 - ###
Telefax: ###
Email: ###","Permit Information:
Reference Number: M/BP/01128/2021
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: July 2, 2021
Issue Date: August 27, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-050, Flurstück 3334 in der Gemarkung: Schiffbek
Project Description: New construction of 2 single houses with 2 residential units each, 2 stories","Decision Basis:
Development Plan: Bebauungsplan Billstedt 76
Regulations: WR II o, only single and semi-detached houses allowed, only buildings with no more than two apartments allowed, building boundaries
Baunutzungsverordnung from November 26, 1968","Included Documents:
0 / 3 Site plan M 1:500 from 06.08.2019
0 / 4 Site plan M 1:200 from 24.06.2021
0 / 5 Site plan M 1:200 from 24.06.2021
0 / 6 Open space plan with replacement plantings M 1:200 from 18.01.2021
0 / 7 Site plan/Existing trees and hedges M 1:200 from 18.01.2021
0 / 8 Floor plan / ground floor M 1:100 from 24.06.2021
0 / 9 Floor plan / upper floor M 1:100 from 24.06.2021
0 / 10 Floor plan/attic M 1:100 from 24.06.2021
0 / 11 Sections M 1:100 from 24.06.2021
0 / 12 Elevation East/West /South/North No. 4b, M 1:100 from 24.06.2021
0 / 13 Elevation East/West /South/North No. 4a, M 1:100 from 24.06.2021
0 / 14 Building description property/ development
0 / 15 Building description interior fittings
0 / 17 Calculation / floor area ratio, story proof
0 / 19 Application for permit according to tree and landscape protection ordinance","Granted Exemptions:
None specified.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.
3. Compliance with species protection regulations must be ensured. An independent biologist must verify the absence of wild animals within 1 to 10 days before work begins.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 2
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-von-2-einzelhaeusern-gebaeuden-mit-je-2-we-2-geschossig,70,1,0,0,1.9,2,,,1,Simplified,Hamburg-Mitte,New Construction,12.0,WR II o,3334.0,,Schiffbek,,Billstedt 76 (development plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: April 9, 2014","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 23 Bauprüfung Rahlstedt
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 28 81 - 28 05
Email: Baupruefung-Rahlstedt@wandsbek.hamburg.de
Contact Person: ###
Room: 408
Telephone: 040 - 4 28 81 - 2390","Permit Information:
Reference Number: W/WBZ/01310/2014
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: January 23, 2014
Issue Date: April 9, 2014
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 526-049, Flurstück 3486 in der Gemarkung: Meiendorf
Project Description: New construction of a single house with two buildings each with one residential unit","Decision Basis:
Development Plan: Baustufenplan Rahlstedt
Regulations: W 1 o, minimum plot size 1000 sqm
Baupolizeiverordnung from June 8, 1938 in the current version
Preliminary decision: Gz.: W/WBZ/04395/2013 from May 24, 2013","Included Documents:
14 / 3 Lageplan
14 / 9 Floor plan / attic floor
14 / 10 Section A-A, elevation
14 / 11 Section B-B, elevation
14 / 18 Floor plan / ground floor
14 / 19 Elevations South West North East
14 / 20 Site plan right of way","Granted Exemptions:
N/A","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-gebaeuden,81,1,0,0,2.8,2,,,1,Simplified,Wandsbek,New Construction,14.0,W 1 o,1440.0,,Meiendorf,,"Rahlstedt (construction plan), Duvenstedt, Bergstedt, Lemsahl-Mellingstedt, Volksdorf and Rahlstedt (regulation for the protection of parts of the landscape)"
