Document Information,Contact Information,Permit Information,Property Information,Decision Basis,Included Documents,Granted Exemptions,Building regulations and requirements,Statistics for HmbTG Implementation,URL (link to PDF),Request ID,Residential,Commercial,Other,Time for Decision (months),Number of Full Stories,Exceeded Building Boundary (meters),Exceeded Floor Area Ratio,Number of Exemptions,Permit Type,Issuing Authority,Type of Construction,Number of Documents,building function + requirements,Parcel code 1,Parcel code 2+,District,Building block,Unnamed: 28,Development plan/ implementation plan
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 5, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Altona
Department: Dezernat Wirtschaft, Bauen und Umwelt, A/WBZ2 Fachamt Bauprüfung
Address: Jessenstraße 1 - 3, 22767 Hamburg
Telephone: 040 - 4 28 11 - 63 63
Telefax: 040 - 427 9 02570
Email: Zentrum-Wirtschaft-Bauen-Umwelt@altona.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: A/WBZ/06668/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: August 6, 2020
Issue Date: November 5, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 227-116, Flurstück 1193 in the Gemarkung Rissen
Project Description: Neubau Einfamilienhaus nach Abbruch des Bestandsgebäudes","Decision Basis:
Development Plan: Verordnung zum Schutz von Landschaftsteilen
Altona-Südwest, Ottensen, Othmarschen, Klein Flottbek, Nienstedten ...
Regulations: WR I; GRZ 0,2; Baufenster e=12m;","Documents Included:
Antrag
Gebührenvordruck
Flurkartenauszug
Lageplan
Grundrisse (Kellergeschoss, Erdgeschoss, Dachgeschoss)
Ansichten (Nord, Ost, Süd, West)
Schnitt C-C
Berechnung / Geschossigkeit
Baubeschreibung
Ergänzung Baubeschreibung
Orientierendes Gebäudegefahrstoffkataster
Berechnung / GRZ
Lageplan","Granted Exemptions:
Planning Law Exemption under § 23 (5) BauNVO:
For the construction of a 3 m wide driveway (made of grass pavers) and a parking space (with paving stones, sealing degree = 0.67) as well as a 1.50 m wide walkway outside the buildable area:
Justification: The driveway, parking space, and walkway to the house in the north are approved.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einfamilienhaus-nach-abbruch-des-bestandsgebaeudes,25,1,0,0,3.0,1,,,1,Simplified,Altona,New Construction,16.0,WR I,1193.0,,Rissen,,,"Altona-Südwest, Ottensen, Othmarschen, Klein Flottbek, Nienstedten ... (Ordinance for the protection of parts of the landscape)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: February 14, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/16417/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: October 26, 2021
Issue Date: February 14, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 514-074, Flurstück 5602 in the Gemarkung Farmsen
Project Description: Neubau eines Einfamilienhauses mit Keller und Stellplatz","Decision Basis:
Development Plan: Baustufenplan Farmsen
Regulations: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version",,"Granted Exemptions:
Exception under § 4 of the Tree Protection Ordinance and § 39 Abs. 5 BNatSchG:
Allowed Actions:
Felling of construction-impeding trees (Baum Nr. 4 Kirsche, Nr. 8 Blut-Buche, Nr. 9 Berg-Ahorn) and Thuja-Hecken I and III (ca. 35 linear meters).
Crown maintenance pruning for Kirsche (Baum Nr. 2) and Magnolie (Baum Nr. 3) according to ZTV-Baumpflege, including removal of deadwood.
Conditions:
Tree works must be conducted between October 1 and February 28.
Replacement planting of 3 native small to medium-crowned trees (high-stem, 3-times transplanted nursery stock, trunk circumference 18-20 cm).
Additional Conditions:
Tree Preservation and Replacement Planting:
Replacement planting and greening measures must be implemented according to specified plant species, scope, and locations.
Replacement planting must be completed by the end of the planting season following construction completion and maintained permanently.
A qualified gardening company must carry out planting and associated measures, with supervision by a landscape architect.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.
Fee: To be determined in a separate notice.
Required Documentation:
Lageplan
Lageplan with setback areas
Floor Plans (Ground Floor, Attic Floor, Basement)
Sections (A-A)
Elevation Views (North, South, East, West)
Building Description
Calculation of Setback Areas
Full Story Calculation
GRZ Calculation",,"Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhaus-mit-keller-und-stellplatz,26,1,0,0,3.5,1,,,1,Simplified,Wandsbek,New Construction,12.0,W1 o,5602.0,,Farmsen,,,Farmsen (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: August 28, 2014","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Bergedorf
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung - B/WBZ 2
Address: Wentorfer Straße 38a, 21029 Hamburg
Telefax: 040 - 4 279 06 - 047
Email: Baupruefung@bergedorf.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: B/WBZ/02815/2014
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: July 22, 2014
Issue Date: August 28, 2014
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 607-019, Flurstück 010056 in the Gemarkung Kirchwerder
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Kirchwerder 17 / Ochsenwerder 8
Regulations: MD I o, 2 Wo, GRZ 0.3, (G), E, F mind. 600 m²
BauNutzungsverordnung from January 23, 1990","Documents Included:
Lageplan
Lageplan / Abstandflächen
Grundriss / Erdgeschoss
Grundriss / Dachgeschoss
Schnitt A-A, Vollgeschossigkeitnachweis
Ansicht",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Other Approvals: The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Residential Building
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-eine-einfamilienhauses,27,1,0,0,1.5,2,,,0,Simplified,Bergedorf,New Construction,7.0,MD I o,10056.0,,Kirchwerder,,,Kirchwerder 17 / Ochsenwerder 8 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: February 22, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/15591/2020
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 4, 2020
Issue Date: February 22, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 515-084, Flurstücke 1245, 1246 in the Gemarkung Bramfeld
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Farmsen-Berne 3 / Bramfeld 29
Regulations: WA II o, Baufeldtiefe 20m
BauNutzungsverordnung from June 26, 1962","Documents Included:
Grundriss / Erdgeschoss
Schnitt AA
Ansichten Norden + Osten
Ansichten Süden + Westen
Berechnung / Grundflächenzahl
Lageplan
Abstandsflächenplan",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Other Approvals: The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses78,28,1,0,0,3.5,1,,,0,Simplified,Wandsbek,New Construction,7.0,WA II o,1245.0,,Bramfeld,,,Farmsen-Berne 3/ Bramfeld 29 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: November 29, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 2
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz2@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ2/00329/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: September 20, 2022
Issue Date: November 29, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 518-022, Flurstück 1566 in the Gemarkung Sasel
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Baustufenplan Sasel
Regulations: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Lageplan
Grundriss / Erdgeschoss
Grundriss / Dachgeschoss
Schnitt
Ansicht West und Nord
Ansicht Ost und Süd",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority at least one week before commencement using the online form.
Notification of Intended Use: Must be communicated to the building authority at least two weeks before intended use.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Planungsrechtliche Grundlagen:
The project integrates with the surrounding area in terms of the buildable property area and does not impair the townscape according to § 34 BauGB.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses100,29,1,0,0,2.5,1,,,0,Simplified,Wandsbek,New Construction,7.0,W1 o,1566.0,,Sasel,,,Sasel (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: January 9, 2023","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung WBZ 2
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz2@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/08758/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: June 13, 2022
Issue Date: January 9, 2023
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 517-080, Flurstück 3701 in the Gemarkung Wellingsbüttel
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Wellingsbüttel 16
Regulations: WR o, Eingeschossig, 40° Dachneigung, 1m Drempelhöhe; vorne: (B) 150m² Grundfläche, 3 WE; hinten: (A) 120m² Grundfläche, 1 WE
BauNutzungsverordnung from January 23, 1990","Documents Included:
8/2 Lageplan 1:500
8/3 Grundriss KG
8/4 Grundriss EG
8/5 Grundriss DG
8/8 Ansicht N
8/9 Ansicht O
8/10 Ansicht S
8/11 Ansicht W
8/18 Schnitt A-A
8/19 Schnitt B-B","Granted Exemptions:
Planning Law Exception under § 31 Abs. 1 BauGB:
For Unterschreiten der festgesetzten Dachneigung von mindestens 40 Grad (§ 2 Absatz 15 der Verordnung zum Bebauungsplan):
Justification: The planned mansard roof maintains the desired appearance with the typical steep roof slope, despite the deviation.","Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority at least one week before commencement.
Other Approvals: The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses101,30,1,0,0,7.0,1,,,1,Simplified,Wandsbek,New Construction,10.0,WR I o,3700.0,,Wellingsbüttel,,,Wellingsbüttel 16 (development plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: May 18, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/19270/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: December 17, 2021
Issue Date: May 18, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 514-069, Flurstück 1815 in der Gemarkung Farmsen
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Baustufenplan Farmsen
Regulations: S 1o ist funktionslos, Beurteilung gem. 34 BauG, 22.10.2014 (RA 15)
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Lageplan
Grundriss EG+OG
Schnitt, Ansicht S+W
Ansicht N+O
Plan Vollgeschossflächen 1. OG
Lageplan GRZ Nachweis
Lageplan Neubau",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority at least one week before commencement using the online form.
Notification of Intended Use: Must be communicated to the building authority at least two weeks before intended use.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses92,31,1,0,0,5.0,1,,,0,Simplified,Wandsbek,New Construction,7.0,S 1 o,1815.0,,Farmsen,,,Farmsen (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 23, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 2
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz2@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/08214/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: May 30, 2022
Issue Date: September 23, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 519-081, Flurstück 8213 in der Gemarkung Poppenbüttel
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Baustufenplan Poppenbüttel
Regulations: W1o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Documents Included:
Flurkartenauszug
Lageplan
Grundriss KG
Grundriss EG
Grundriss DG
Schnitte
Ansicht N + O
Ansicht S + W","Granted Exemptions:
Planning Law Exemption under § 31 Abs. 2 BauGB:
For exceeding the allowable buildable area from 2/10 to 2.19/10:
Justification: The exemption is granted as it is urbanistically justifiable after re-planning.","Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority at least one week before commencement using the online form.
Notification of Intended Use: Must be communicated to the building authority at least two weeks before intended use.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses96,32,1,0,0,3.8,1,,0.19,1,Simplified,Wandsbek,New Construction,9.0,W1 o,8213.0,,Poppenbüttel,,,Poppenbüttel (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: April 9, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 21
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 427 905 487
Email: wbz21@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/01503/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: January 28, 2021
Issue Date: April 9, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 513-007, Flurstück 3042 in der Gemarkung Tonndorf
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Tonndorf 24
Regulations: WR I o; 2W; ED
BauNutzungsverordnung from September 15, 1977
Protected Landscape Area: Wandsbeker Geest","Documents Included:
Grundriss / Erdgeschoss (12/6)
Grundriss / Dachgeschoss (12/7)
Schnitt 1 (12/8)
Ansicht S+O (12/10)
Ansicht N+W (12/11)
Lageplan (12/20)
Abstandsflächenplan (12/21)",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses83,33,1,0,0,2.5,1,,,0,Simplified,Wandsbek,New Construction,7.0,WR I o,3042.0,,Tonndorf,,,"Tonndorf 24 (development plan), Wandsbeker Geest (regulation for the protection of parts of the landscape)"
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: July 9, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 22
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 4 28 81 - 0
Telefax: 040 - 4 27 90 51 49
Email: wbz22@wandsbek.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: W/WBZ/02268/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: February 12, 2021
Issue Date: July 9, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 515-100, Flurstück 10789 in der Gemarkung Bramfeld
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Grünordnungsplan Bramfeld 58
Regulations: WRI o, 2 Wo, GRZ 0,3, GFZ 0,3, Baufenster, Ausschluss von Nebenanlagen, Stellplätzen und oberirdischen Garagen
Hamburgisches Naturschutzgesetz vom 02.07.1981 in der geltenden Fassung","Documents Included:
Grundriss / Erdgeschoss (1/6)
Grundriss / Obergeschoss (1/7)
Schnitt (1/8)
Ansicht W+N+O+S (1/9)
Baubeschreibung (1/10)
Nachweis / Geschossigkeit (1/11)
Berechnung / Wohnfläche (1/13)
Berechnung / Rauminhalt, GRZ + GFZ (1/18)
Lage- und Höhenplan (1/19)",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses85,34,1,0,0,5.0,1,,,0,Simplified,Wandsbek,New Construction,9.0,WR I o,10789.0,,Bramfeld,,,Bramfeld 58 (green development plan according to HmbNatSchG)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: September 27, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfabteilung Region Ost -WBZ 22-
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung@eimsbuettel.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: E/WBZ2/01435/2022
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: June 29, 2022
Issue Date: September 27, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 318-139, Flurstück 593 in der Gemarkung Lokstedt
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Baustufenplan Niendorf / Lokstedt / Schnelsen
Regulations: W 1 o
Baupolizeiverordnung from June 8, 1938, in the applicable version","Included Documents:
4 / 3 Lageplan
4 / 8 Ansicht Süden
4 / 9 Ansicht Osten
4 / 10 Ansicht Norden
4 / 11 Ansicht Westen
4 / 12 Ermittlung der Abstandsflächen
4 / 13 Berechnung der Grund-und Geschossflächenzahl
4 / 15 Berechnung der Geschossigkeit
4 / 20 Grundriss EG
4 / 21 Grundriss Dachgeschoss
4 / 22 Grundriss Spitzboden
4 / 23 Schnitt
4 / 24 Baubeschreibung
4 / 25 Baumbestandsplan & Baumschutzplan
4 / 26 Gutachterliche Stellungnahme",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.
Additional Information:
Notice: The approval does not replace the need to obtain other public law decisions and does not authorize the commencement of work.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses97,35,1,0,0,3.0,1,,,0,Simplified,Eimsbüttel,New Construction,13.0,W1 o,593.0,,Lokstedt,,,Niendorf / Lokstedt / Schnelsen (construction plan)
"Document Information:
Title: Genehmigung nach HBauO
Creation Date: February 3, 2022","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Altona
Department: Dezernat Wirtschaft, Bauen und Umwelt, A/WBZ2 Fachamt Bauprüfung
Address: Jessenstraße 1 - 3, 22767 Hamburg
Telephone: 040 - 4 28 11 - 63 63
Telefax: 040 - 427 9 02570
Email: Zentrum-Wirtschaft-Bauen-Umwelt@altona.hamburg.de
Contact Person: Not specified (placeholders marked as ###)","Permit Information:
Reference Number: A/WBZ/10737/2021
Permit Type: Vereinfachtes Genehmigungsverfahren (Simplified Approval Procedure)
Date of Receipt: November 16, 2021
Issue Date: February 3, 2022
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 220-012, Flurstück 1461 in der Gemarkung Lurup
Project Description: Neubau eines Einfamilienhauses","Decision Basis:
Development Plan: Bebauungsplan Lurup 14 (festgestellt am 25.09.1964)
Regulations: Baufenster, WR I, ED, max. 2 WE
Baunutzungsverordnung from June 26, 1962","Included Documents:
3 / S-1² Antrag
3 / 1 Flurkartenauszug / Karte
3 / 2 Flurkartenauszug / Buch
3 / 4 Lageplan / Grünflächengestaltung
3 / 5 Baubeschreibung
3 / 17 Lageplan
3 / 18 Grundriss / Kellergeschoss
3 / 19 Grundriss / Erdgeschoss
3 / 20 Grundriss / Dachgeschoss
3 / 21 Grundriss / Spitzboden
3 / 22 Querschnitt
3 / 23 Ansichten Süd + West
3 / 24 Ansichten Nord + Ost
3 / 25 Antrag / Abweichung / Ausnahme / Befreiung
Erteilte Abweichungen von öffentlich-rechtlichen Vorschriften:
Planungsrechtliche Ausnahme nach § 23 Abs. 5 BauNVO:
Errichtung der ebenerdigen Terrasse teilweise außerhalb der überbaubaren Grundstücksfläche (§ 23 Abs. 5 BauNVO 1962):
Justification: The exemption is granted as the terrace's extension beyond the building limits is urbanistically justifiable.",,"Bauordnungsrechtliche Hinweise und Auflagen:
Construction Start Notification: Must be communicated to the building authority.
Validity: The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year.
Other Approvals: The approval does not replace the need to obtain other public law decisions.
Fee: To be determined in a separate notice.
Rechtsbehelfsbelehrung: You can appeal this decision within one month of notification at the office mentioned in the letterhead.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Requested Facility: Building, Building Class 1
Type of Building by Future Use: Pure Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses89,36,1,0,0,2.5,1,0.5,,1,Simplified,Altona,New Construction,15.0,WR I,1461.0,,Lurup,,,"Lurup 14 (established on September 25, 1964) (development plan)"
